name,college_team,college_conference,position,height,weight,season_before_draft,regular_season_games,regular_season_wins,regular_season_losses,postseason_games,postseason_wins,postseason_losses,attended_combine,draft_round,passing_completions,passing_att,completion_pct,passing_yds,passing_tds,passing_ints,passing_ypa,receiving_rec,receiving_yds,receiving_td,receiving_ypr,rushing_car,rushing_yds,rushing_td,rushing_ypc,forty,bench,vertical,broad_jump,cone,shuttle
WR_Player_0,Oregon,ACC,WR,70,198,2025,12,8,2,2,0,0,N,6,0,0,0.0,0,0,0,0.0,32,561,4,11.325048043829149,2,10,0,5.0,,,,,,
WR_Player_1,Ohio State,Big Ten,WR,78,185,2025,12,4,2,1,0,0,Y,7,0,0,0.0,0,0,0,0.0,36,644,5,12.644599049829738,2,10,0,5.0,4.664141640803664,13.0,30.88602937218051,115.32704373504802,7.278654688195962,4.259770707780751
WR_Player_2,Ohio State,Big Ten,WR,71,196,2025,12,8,2,1,0,0,Y,6,0,0,0.0,0,0,0,0.0,37,570,7,11.706854201561733,2,10,1,5.0,4.822734036023292,18.0,32.58163695360357,112.73252105143223,7.01539847455604,4.4271404098050215
WR_Player_3,Ohio State,SEC,WR,78,211,2025,12,5,2,0,0,0,Y,3,0,0,0.0,0,0,0,0.0,44,493,4,11.931105148295487,2,10,0,5.0,4.707675008076667,17.0,31.595766652208194,126.79190704991096,7.196067176557192,4.368562488399568
WR_Player_4,Ohio State,SEC,WR,71,191,2025,12,8,2,2,0,0,Y,6,0,0,0.0,0,0,0,0.0,31,665,6,12.583195326924539,2,10,0,5.0,4.752057476285567,14.0,31.28297665290327,119.4336696494673,7.1429244642362075,4.392662223630439
WR_Player_5,LSU,ACC,WR,73,188,2025,12,9,2,1,0,0,Y,5,0,0,0.0,0,0,0,0.0,48,583,6,11.802060093394752,2,10,0,5.0,4.656797111075873,14.0,32.231125549784906,116.68093418632859,7.128698569778358,4.463615092804207
WR_Player_6,LSU,SEC,WR,70,192,2025,12,6,2,0,0,0,Y,1,0,0,0.0,0,0,0,0.0,71,1068,9,13.98115859888359,6,50,1,5.0,4.627454303842878,23.0,33.46128572835762,128.84705753477104,6.9990821900922535,4.301530776525804
WR_Player_7,Oregon,Pac-12,WR,75,194,2025,12,6,2,2,0,0,Y,5,0,0,0.0,0,0,0,0.0,41,532,7,11.542062657886083,2,10,0,5.0,4.7040500730061225,13.0,34.45146544972098,125.4294964909581,7.25429378880334,4.335340464936915
WR_Player_8,Oregon,SEC,WR,75,210,2025,12,4,2,0,0,0,Y,1,0,0,0.0,0,0,0,0.0,77,1253,10,13.191735697075483,6,50,0,5.0,4.650670443970243,21.0,36.72684764669295,120.0006056696814,6.857878132667115,4.2675894932242535
WR_Player_9,Oregon,SEC,WR,77,205,2025,12,10,2,2,0,0,Y,4,0,0,0.0,0,0,0,0.0,35,818,7,11.653711786019143,2,10,0,5.0,4.785817412471532,15.0,29.737982275714963,120.25599278911119,7.208335750054739,4.454059879277487
