college_team,college_conference,nfl_team,year,overall,draft_round,pick,name,position,height,weight,season_before_draft,passing_completions,passing_att,completion_pct,passing_yds,passing_tds,passing_ints,passing_ypa,rushing_car,rushing_yds,rushing_td,rushing_ypc,regular_season_games,regular_season_wins,regular_season_losses,postseason_games,postseason_wins,postseason_losses,forty,bench,vertical,broad_jump,cone,shuttle,attended_combine
Oklahoma,Big 12,Los Angeles,2010,1,1,1,Sam Bradford,Quarterback,76.0,236.0,2009,39,69,0.565,562,2,0,8.1,4,-18,0,-4.5,12,7,5,1,1,0,4.79,,,,,,Y
Florida,SEC,Denver,2010,25,1,25,Tim Tebow,Quarterback,75.0,236.0,2009,213,314,0.678,2895,21,5,9.2,217,910,14,4.2,13,12,1,1,1,0,4.71,,38.5,115.0,6.66,4.17,Y
Notre Dame,FBS Independents,Carolina,2010,48,2,16,Jimmy Clausen,Quarterback,75.0,222.0,2009,289,425,0.68,3722,28,4,8.8,59,-95,3,-1.6,12,6,6,0,0,0,4.76,,,,,,Y
Texas,Big 12,Cleveland,2010,85,3,21,Colt McCoy,Quarterback,73.0,216.0,2009,332,470,0.706,3521,27,12,7.5,129,348,3,2.7,13,13,0,1,0,1,4.79,,,114.0,,,Y
Tennessee,SEC,Los Angeles,2010,168,5,37,Jonathan Crompton,Quarterback,75.0,222.0,2009,224,384,0.583,2800,27,13,7.3,44,-52,1,-1.2,12,7,5,1,0,1,,,,,,,N
Florida Atlantic,Sun Belt,Tennessee,2010,176,6,7,Rusty Smith,Quarterback,77.0,231.0,2009,145,253,0.573,1915,14,5,7.6,14,-27,1,-1.9,12,5,7,0,0,0,,,,,,,N
Central Michigan,Mid-American,Chicago,2010,181,6,12,Dan LeFevour,Quarterback,75.0,230.0,2009,318,456,0.697,3438,28,7,7.5,183,713,15,3.9,13,11,2,1,1,0,4.6,,29.5,110.0,6.93,4.22,Y
UAB,Conference USA,Minnesota,2010,199,6,30,Joe Webb,Quarterback,75.0,223.0,2009,162,271,0.598,2299,21,8,8.5,227,1427,11,6.3,12,5,7,0,0,0,,,,,,,N
Cincinnati,Big East,Carolina,2010,204,6,35,Tony Pike,Quarterback,78.0,223.0,2009,211,338,0.624,2520,29,6,7.5,31,6,2,0.2,12,12,0,1,0,1,4.9,,28.5,108.0,7.06,4.53,Y
Troy,Sun Belt,Buffalo,2010,209,7,2,Levi Brown,Quarterback,76.0,229.0,2009,321,504,0.637,4254,23,9,8.4,54,7,1,0.1,12,9,3,1,0,1,4.93,20.0,31.5,106.0,7.07,4.43,Y
Oregon State,Pac-10,New Orleans,2010,239,7,32,Sean Canfield,Quarterback,76.0,223.0,2009,303,446,0.679,3271,21,7,7.3,48,-160,2,-3.3,12,8,4,1,0,1,4.93,,29.5,100.0,7.26,4.39,Y
Oklahoma State,Big 12,New England,2010,250,7,43,Zac Robinson,Quarterback,75.0,214.0,2009,180,301,0.598,2084,15,12,6.9,111,305,4,2.7,12,9,3,1,0,1,4.68,,35.0,110.0,7.24,4.4,Y
Washington,Pac-10,Tennessee,2011,8,1,8,Jake Locker,Quarterback,75.0,231.0,2010,184,332,0.554,2265,17,9,6.8,114,385,6,3.4,12,6,6,1,1,0,4.51,,35.0,120.0,6.77,4.12,Y
Missouri,Big 12,Jacksonville,2011,10,1,10,Blaine Gabbert,Quarterback,76.0,234.0,2010,301,475,0.634,3186,16,9,6.7,112,232,5,2.1,12,10,2,1,0,1,4.61,,33.5,120.0,6.84,4.26,Y
Florida State,ACC,Minnesota,2011,12,1,12,Christian Ponder,Quarterback,74.0,229.0,2010,184,299,0.615,2044,20,8,6.8,100,180,4,1.8,13,9,4,1,1,0,4.63,,34.0,116.0,6.85,4.09,Y
TCU,Mountain West,Cincinnati,2011,35,2,3,Andy Dalton,Quarterback,74.0,215.0,2010,209,316,0.661,2857,27,6,9.0,86,435,6,5.1,12,12,0,1,1,0,4.83,,29.5,106.0,6.93,4.27,Y
Nevada,Western Athletic,San Francisco,2011,36,2,4,Colin Kaepernick,Quarterback,77.0,233.0,2010,233,359,0.649,3022,21,8,8.4,173,1206,20,7.0,13,12,1,1,1,0,4.53,,32.5,115.0,6.85,4.18,Y
Arkansas,SEC,New England,2011,74,3,10,Ryan Mallett,Quarterback,79.0,253.0,2010,266,411,0.647,3869,32,12,9.4,44,-74,4,-1.7,12,10,2,1,0,1,5.37,,24.0,103.0,,,Y
Iowa,Big Ten,Kansas City,2011,135,5,4,Ricky Stanzi,Quarterback,76.0,223.0,2010,221,345,0.641,3004,25,6,8.7,48,-6,2,-0.1,12,7,5,1,1,0,4.87,,32.5,110.0,6.95,4.43,Y
North Carolina,ACC,Houston,2011,152,5,21,T.J. Yates,Quarterback,76.0,221.0,2010,282,422,0.668,3418,19,9,8.1,79,-77,3,-1.0,12,7,5,1,1,0,5.06,,29.5,104.0,6.96,4.12,Y
Virginia Tech,ACC,Baltimore,2011,180,6,15,Tyrod Taylor,Quarterback,73.0,216.0,2010,188,315,0.597,2743,24,5,8.7,146,659,5,4.5,13,11,2,1,0,1,4.47,,37.5,126.0,6.78,4.09,Y
Alabama,SEC,New York,2011,208,7,5,Greg McElroy,Quarterback,74.0,220.0,2010,222,313,0.709,2987,20,5,9.5,60,-12,1,-0.2,12,9,3,1,1,0,4.84,,33.0,107.0,7.11,4.45,Y
Stanford,Pac-12,Indianapolis,2012,1,1,1,Andrew Luck,Quarterback,76.0,234.0,2011,288,404,0.713,3517,37,10,8.7,47,150,2,3.2,12,11,1,1,0,1,4.59,,36.0,124.0,6.8,4.28,Y
Baylor,Big 12,Washington,2012,2,1,2,Robert Griffin III,Quarterback,74.0,231.0,2011,291,402,0.724,4293,37,6,10.7,179,699,10,3.9,12,9,3,1,1,0,4.33,,39.0,120.0,,,Y
Texas A&M,Big 12,Miami,2012,8,1,8,Ryan Tannehill,Quarterback,76.0,221.0,2011,327,531,0.616,3744,29,15,7.1,58,306,4,5.3,12,6,6,1,1,0,4.65,,,,,,Y
Oklahoma State,Big 12,Cleveland,2012,22,1,22,Brandon Weeden,Quarterback,76.0,221.0,2011,408,564,0.723,4727,37,13,8.4,17,-102,1,-6.0,12,11,1,1,1,0,4.89,,,,,,Y
Arizona State,Pac-12,Denver,2012,57,2,25,Brock Osweiler,Quarterback,79.0,242.0,2011,326,516,0.632,4036,26,13,7.8,83,90,3,1.1,12,6,6,1,0,1,4.83,,,,,,Y
Wisconsin,Big Ten,Seattle,2012,75,3,12,Russell Wilson,Quarterback,71.0,204.0,2011,225,309,0.728,3175,33,4,10.3,79,338,6,4.3,13,11,2,1,0,1,4.53,,34.0,118.0,6.97,4.09,Y
