college_team,college_conference,nfl_team,year,overall,draft_round,pick,name,position,height,weight,season_before_draft,rushing_car,rushing_yds,rushing_td,rushing_ypc,receiving_rec,receiving_yds,receiving_td,receiving_ypr,regular_season_games,regular_season_wins,regular_season_losses,postseason_games,postseason_wins,postseason_losses,forty,bench,vertical,broad_jump,cone,shuttle,attended_combine
Clemson,ACC,Buffalo,2010,9,1,9,C.J. Spiller,Running Back,71.0,196.0,2009,216,1212,12,5.6,36.0,503.0,4.0,14.0,13,8,5,1,1,0,4.37,18.0,,,,,Y
Fresno State,Western Athletic,Los Angeles,2010,12,1,12,Ryan Mathews,Running Back,72.0,218.0,2009,276,1808,19,6.6,11.0,122.0,0.0,11.1,12,8,4,1,0,1,4.37,19.0,36.0,121.0,7.0,4.33,Y
California,Pac-10,Detroit,2010,30,1,30,Jahvid Best,Running Back,70.0,199.0,2009,141,867,12,6.1,22.0,213.0,4.0,9.7,12,8,4,1,0,1,4.34,18.0,32.5,113.0,6.75,4.17,Y
Ole Miss,SEC,Kansas City,2010,36,2,4,Dexter McCluster,Running Back,69.0,172.0,2009,181,1169,8,6.5,44.0,520.0,3.0,11.8,12,8,4,1,1,0,4.53,20.0,37.5,118.0,,4.06,Y
Stanford,Pac-10,Minnesota,2010,51,2,19,Toby Gerhart,Running Back,72.0,231.0,2009,343,1871,27,5.5,11.0,157.0,0.0,14.3,12,8,4,1,0,1,4.5,22.0,38.0,118.0,6.94,4.25,Y
Auburn,SEC,Houston,2010,58,2,26,Ben Tate,Running Back,71.0,220.0,2009,263,1362,10,5.2,20.0,105.0,0.0,5.3,12,7,5,1,1,0,4.34,26.0,40.5,124.0,6.91,4.12,Y
Tennessee,SEC,Cleveland,2010,59,2,27,Montario Hardesty,Running Back,72.0,225.0,2009,282,1345,13,4.8,25.0,302.0,1.0,12.1,12,7,5,1,0,1,4.49,21.0,41.0,124.0,6.87,4.14,Y
USC,Pac-10,New York,2010,112,4,14,Joe McKnight,Running Back,71.0,198.0,2009,164,1014,8,6.2,22.0,146.0,0.0,6.6,12,8,4,1,1,0,4.4,18.0,36.5,120.0,,,Y
Georgia Tech,ACC,Pittsburgh,2010,188,6,19,Jonathan Dwyer,Running Back,71.0,229.0,2009,235,1395,14,5.9,5.0,37.0,0.0,7.4,13,11,2,1,0,1,4.64,15.0,33.0,107.0,7.56,4.67,Y
LSU,SEC,Philadelphia,2010,200,6,31,Charles Scott,Running Back,71.0,238.0,2009,116,542,4,4.7,8.0,54.0,1.0,6.8,12,9,3,1,0,1,4.68,,30.5,111.0,6.98,4.47,Y
Alabama,SEC,New Orleans,2011,28,1,28,Mark Ingram,Running Back,69.0,215.0,2010,158,875,13,5.5,21.0,282.0,1.0,13.4,12,9,3,1,1,0,4.62,21.0,31.5,118.0,7.13,4.62,Y
Virginia Tech,ACC,Arizona,2011,38,2,6,Ryan Williams,Running Back,69.0,212.0,2010,110,477,9,4.3,10.0,109.0,1.0,10.9,13,11,2,1,0,1,4.59,19.0,40.0,123.0,6.96,4.18,Y
California,Pac-10,New England,2011,56,2,24,Shane Vereen,Running Back,69.0,203.0,2010,231,1167,13,5.1,22.0,209.0,3.0,9.5,12,5,7,0,0,0,4.49,31.0,34.0,115.0,6.95,4.28,Y
Illinois,Big Ten,Detroit,2011,57,2,25,Mikel Leshoure,Running Back,72.0,227.0,2010,281,1697,17,6.0,17.0,196.0,3.0,11.5,12,6,6,1,1,0,4.56,21.0,38.0,122.0,6.82,4.4,Y
Kansas State,Big 12,Miami,2011,62,2,30,Daniel Thomas,Running Back,72.0,230.0,2010,298,1585,19,5.3,27.0,171.0,0.0,6.3,12,7,5,1,0,1,4.62,21.0,,,,,Y
LSU,SEC,New England,2011,73,3,9,Stevan Ridley,Running Back,71.0,225.0,2010,249,1147,15,4.6,11.0,61.0,0.0,5.5,12,10,2,1,1,0,4.65,18.0,36.0,118.0,6.78,4.21,Y
Oklahoma State,Big 12,San Francisco,2011,115,4,18,Kendall Hunter,Running Back,67.0,199.0,2010,271,1548,16,5.7,20.0,101.0,0.0,5.1,12,10,2,1,1,0,4.46,24.0,35.0,122.0,6.74,4.21,Y
Syracuse,Big East,Indianapolis,2011,119,4,22,Delone Carter,Running Back,69.0,225.0,2010,231,1233,9,5.3,8.0,45.0,0.0,5.6,12,7,5,1,1,0,4.54,27.0,37.0,120.0,6.92,4.07,Y
