feature,lr_coef,lr_abs,xgb_gain,rank_lr,rank_xgb,avg_rank
reg_win_pct,0.6356489236231285,0.6356489236231285,0.07981666,5.0,2.0,3.5
forty,-0.7601606430978668,0.7601606430978668,0.05575856,3.0,6.0,4.5
receiving_yds,0.5545886417832367,0.5545886417832367,0.060538374,7.0,3.0,5.0
total_yds,0.6425557741133129,0.6425557741133129,0.051831756,4.0,8.0,6.0
ypc_adj,0.3589538169964586,0.3589538169964586,0.05702171,11.0,4.0,7.5
rushing_car,-0.8308677183878781,0.8308677183878781,0.043308448,2.0,13.0,7.5
rushing_yds,0.545727612745029,0.545727612745029,0.05172535,8.0,9.0,8.5
total_td,0.16241706551302681,0.16241706551302681,0.19561553,19.0,1.0,10.0
receiving_td,0.4233665443981585,0.4233665443981585,0.049322747,10.0,11.0,10.5
had_postseason,0.8858339882951305,0.8858339882951305,0.0,1.0,21.5,11.25
weight_z,0.574540429002393,0.574540429002393,0.026819287,6.0,17.0,11.5
broad_jump,0.43019137300173205,0.43019137300173205,0.032445293,9.0,15.0,12.0
rushing_ypc,0.2153777877646773,0.2153777877646773,0.04980836,18.0,10.0,14.0
bench,-0.06912488632642971,0.06912488632642971,0.056073204,23.0,5.0,14.0
receiving_rec,-0.23622555120294467,0.23622555120294467,0.048379008,17.0,12.0,14.5
rushing_td,0.07176815147088064,0.07176815147088064,0.055283785,22.0,7.0,14.5
forty_attended,0.30376010958901806,0.30376010958901806,0.0,13.5,21.5,17.5
conf_weight,-0.11665531697063644,0.11665531697063644,0.03469513,21.0,14.0,17.5
broad_jump_attended,0.30376010958901806,0.30376010958901806,0.0,13.5,21.5,17.5
bench_attended,0.30376010958901806,0.30376010958901806,0.0,13.5,21.5,17.5
vertical_attended,0.30376010958901806,0.30376010958901806,0.0,13.5,21.5,17.5
receiving_role,0.2760811526845239,0.2760811526845239,0.0,16.0,21.5,18.75
vertical,-0.1613321525881196,0.1613321525881196,0.023136163,20.0,18.0,19.0
height_z,-0.010628683313205045,0.010628683313205045,0.028420705,24.0,16.0,20.0
