feature,lr_coef,lr_abs,xgb_gain,rank_lr,rank_xgb,avg_rank
conf_weight,0.7327720367331318,0.7327720367331318,0.12238669,4.0,1.0,2.5
broad_jump,0.9715444342275007,0.9715444342275007,0.06767251,2.0,6.0,4.0
receiving_yds,0.36804351001108077,0.36804351001108077,0.110758804,6.0,2.0,4.0
receiving_td,0.7098109529604167,0.7098109529604167,0.074421376,5.0,3.0,4.0
forty,-1.0654505857192014,1.0654505857192014,0.063035615,1.0,7.0,4.0
vertical,0.7767842926912137,0.7767842926912137,0.05474829,3.0,10.0,6.5
ypr_adj,0.22831342211213201,0.22831342211213201,0.0720717,9.0,4.0,6.5
height_z,0.1812443983069757,0.1812443983069757,0.067788534,12.0,5.0,8.5
had_postseason,-0.1864723686999151,0.1864723686999151,0.05932573,11.0,8.0,9.5
reg_win_pct,0.287989086616841,0.287989086616841,0.053770956,8.0,12.0,10.0
td_per_rec,-0.3617514073345382,0.3617514073345382,0.051099163,7.0,14.0,10.5
cone,-0.15839839826237032,0.15839839826237032,0.054014124,13.0,11.0,12.0
receiving_ypr,0.20105087237703653,0.20105087237703653,0.037405305,10.0,15.0,12.5
weight_z,0.028664872233863332,0.028664872233863332,0.057290662,19.0,9.0,14.0
forty_attended,-0.04028477554690962,0.04028477554690962,0.0030048087,14.5,16.0,15.25
receiving_rec,0.038534508848803044,0.038534508848803044,0.051205795,18.0,13.0,15.5
vertical_attended,-0.04028477554690962,0.04028477554690962,0.0,14.5,18.0,16.25
cone_attended,-0.040284775546909304,0.040284775546909304,0.0,16.5,18.0,17.25
broad_jump_attended,-0.040284775546909304,0.040284775546909304,0.0,16.5,18.0,17.25
